restaurant_id,category_id
5c297d4b-ef79-41ca-8694-3470ef745d70,68d876a5-00b1-4916-821a-e159e2721011
e909f7b6-ceaf-4ee3-b082-c4fc1714f851,fc0a2122-4065-4568-8e48-419be7c4f82d
d83139cd-5c61-4e28-9ef8-dda3bb3eaac5,fc0a2122-4065-4568-8e48-419be7c4f82d
61f4e40c-0ed2-4287-8b07-9d07309049e2,7e941907-4a85-4c26-9f6a-6dc0132efc79
1ba7bf82-6779-4950-847e-353aa519843a,b82ad254-3b4b-4ee5-8264-7fa66e486542
e7b478fc-9c55-47e8-a36a-ac56b7833f54,fc0a2122-4065-4568-8e48-419be7c4f82d
248bdbdf-9236-4240-a4e2-af009a22c829,68d876a5-00b1-4916-821a-e159e2721011
9115f685-f7cb-4e1f-b3a5-8d8323d8d162,7e941907-4a85-4c26-9f6a-6dc0132efc79
2149d9f0-510d-4901-a12d-e4df87498d9d,7e941907-4a85-4c26-9f6a-6dc0132efc79
34ddebe3-700c-4f44-8fb5-13a9e4db0c77,68d876a5-00b1-4916-821a-e159e2721011
50c82fd4-a6f2-4766-bf35-0537c77c3d2a,b82ad254-3b4b-4ee5-8264-7fa66e486542
4228ca94-f3ec-4c8b-b628-e08882e93571,68d876a5-00b1-4916-821a-e159e2721011
6eff06ca-c52d-4482-bf85-d5370a998d33,b82ad254-3b4b-4ee5-8264-7fa66e486542
0c9ea858-f40f-4042-a6ee-cda02d9fe9ce,b82ad254-3b4b-4ee5-8264-7fa66e486542
7eaf537d-cead-41f3-b19f-26b9cd04eeba,68d876a5-00b1-4916-821a-e159e2721011
fbfcce1d-4268-4e87-86a5-1aef5ce65d2e,7e941907-4a85-4c26-9f6a-6dc0132efc79
2d8a8fff-25d0-4cec-825a-c2e9021fd542,68d876a5-00b1-4916-821a-e159e2721011
8fea7445-4c7f-48be-b69e-309f1bdcc4c5,7e941907-4a85-4c26-9f6a-6dc0132efc79
6afb625f-a216-4c23-b037-bf4547348ddd,7e941907-4a85-4c26-9f6a-6dc0132efc79
845968f0-a7b5-4216-b018-6de1569f620e,b82ad254-3b4b-4ee5-8264-7fa66e486542
56b7794d-5450-4e9e-81f3-58b71ff367ef,fc0a2122-4065-4568-8e48-419be7c4f82d
7c87765d-7009-4e47-8f89-222dfe02a037,68d876a5-00b1-4916-821a-e159e2721011
8dd0953c-5923-4748-9652-5a10f3a2c894,7e941907-4a85-4c26-9f6a-6dc0132efc79
82b1f50e-27e7-4096-810f-fca8b0caab9a,fc0a2122-4065-4568-8e48-419be7c4f82d
e4f6ff36-34f5-4ec5-a08a-69c56e9ac9b0,7e941907-4a85-4c26-9f6a-6dc0132efc79
df607804-275a-4168-839a-fe6455868469,7e941907-4a85-4c26-9f6a-6dc0132efc79
0437c85a-ea0e-4bfb-a34a-acf718ac0025,68d876a5-00b1-4916-821a-e159e2721011
ae44956e-3170-4e64-843d-418cae461df7,68d876a5-00b1-4916-821a-e159e2721011
c388298f-db03-4c58-9171-f765f0fc4381,7e941907-4a85-4c26-9f6a-6dc0132efc79
f3d1139f-4bc0-4ac8-8178-73db94263aae,7e941907-4a85-4c26-9f6a-6dc0132efc79
b77fae37-0832-4b6c-806f-77513777669e,7e941907-4a85-4c26-9f6a-6dc0132efc79
1b06312a-1520-48c7-b968-a0b82d2dc847,7e941907-4a85-4c26-9f6a-6dc0132efc79
3a789878-7e85-4636-8f48-12fddf52f71f,68d876a5-00b1-4916-821a-e159e2721011
df14d106-b081-44f9-8327-4465898fe525,7e941907-4a85-4c26-9f6a-6dc0132efc79
a25f2c72-4869-488e-918e-3447575e25dc,fc0a2122-4065-4568-8e48-419be7c4f82d
782d34b8-a6de-4def-baa1-1178a252ede8,7e941907-4a85-4c26-9f6a-6dc0132efc79
b898caa4-dc3d-47ed-9f6a-f43279609730,68d876a5-00b1-4916-821a-e159e2721011
72dd696c-9196-46cd-8fb6-38ff060cb7ad,7e941907-4a85-4c26-9f6a-6dc0132efc79
d5c3c6fc-29bb-4560-8073-93a28098387c,b82ad254-3b4b-4ee5-8264-7fa66e486542
34ddcfa4-8895-4e55-bf2b-21f147acf9a0,7e941907-4a85-4c26-9f6a-6dc0132efc79
3e839ac1-1046-4fc7-b957-e42cdb1021ae,7e941907-4a85-4c26-9f6a-6dc0132efc79
d159f85e-202b-46e3-bb9d-3cce31f920b2,7e941907-4a85-4c26-9f6a-6dc0132efc79
04fdbdc0-e134-4e9a-8c8f-011dea3649e9,7e941907-4a85-4c26-9f6a-6dc0132efc79
54adba30-9e56-4161-8ecc-a04c872b025a,7e941907-4a85-4c26-9f6a-6dc0132efc79
3a9a9664-9664-4676-a52d-0c703e9161fb,b82ad254-3b4b-4ee5-8264-7fa66e486542
85b50845-5211-48bb-b520-1b5b3eb7653a,7e941907-4a85-4c26-9f6a-6dc0132efc79
bedf4b43-0416-45a0-862e-f75e17552c17,fc0a2122-4065-4568-8e48-419be7c4f82d
cecb0cee-b012-4cd5-b63b-649dd5836558,7e941907-4a85-4c26-9f6a-6dc0132efc79
11dd8d6c-4a3f-42b8-83ce-05f182f5f5bf,68d876a5-00b1-4916-821a-e159e2721011
0d4286ac-25f3-44f3-b627-6c27c02a9e16,7e941907-4a85-4c26-9f6a-6dc0132efc79
