item_id,restaurant_id,name,description,price,category,image_url,is_available
df35f34f-c6eb-43e2-95a3-e0fe495c8e6c,146db025-665d-4b1c-ae86-02d361189aa9,Miến Xào Cua,,239000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/mien-xao-cua.png,True
55ae003d-5c5a-4c5d-ad30-04b6a42c40c5,146db025-665d-4b1c-ae86-02d361189aa9,Pad Thai Hải Sản,,169000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/pad-thai-hai-san.png,True
513415aa-f98f-45b1-ad92-634813387572,146db025-665d-4b1c-ae86-02d361189aa9,Súp Tomyum Tôm Nước Béo,,119000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/sup-tomyum-tom-dua.png,True
dee9ddc3-a3eb-493a-bcf1-0fd1f1522109,146db025-665d-4b1c-ae86-02d361189aa9,Súp Tomyum Hải Sản Nước Béo,,150000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/sup-tomyum-hai-san-dua.png,True
5a6680e3-ce10-427b-a5c7-2677aaed0f2b,146db025-665d-4b1c-ae86-02d361189aa9,Lẩu Cá Tầm Hải Sản,,369000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/lau-ca-tam-hai-san.jpg,True
59296965-72eb-47dc-88eb-95c255e84d01,146db025-665d-4b1c-ae86-02d361189aa9,Cơm Chiên Cua,,230000.0,Combo,https://happythai.vn/uploads/source/image-logo/com-chien-cua-(2).png,True
3aca147f-7590-4475-8c5d-07a393013c79,146db025-665d-4b1c-ae86-02d361189aa9,Miến Xào Hải Sản,,200000.0,Combo,https://happythai.vn/uploads/source/image-logo/mien-xao-hai-san.png,True
b11192c9-e28a-480c-ac27-2e796ed7e3f0,146db025-665d-4b1c-ae86-02d361189aa9,Miến Xào Tôm,,200000.0,Nước uống,https://happythai.vn/uploads/source/image-logo/mien-xao-tom.png,True
693aaf5d-0f43-4a3d-b44e-66aae01202c4,146db025-665d-4b1c-ae86-02d361189aa9,Sườn Cay Vừa & Bún,,220000.0,Nước uống,https://happythai.vn/uploads/source/image-logo/suon-cay.png,True
435db722-8351-4909-b063-293073954ef4,146db025-665d-4b1c-ae86-02d361189aa9,Trà Chanh Thái Xanh,,35000.0,Combo,https://happythai.vn/uploads/source/image-logo/tra-chanh-thai-xanh.png,True
dbdbb3cc-016b-49e5-93d9-b624f84fa359,146db025-665d-4b1c-ae86-02d361189aa9,Trà Chanh Thái Đỏ,,35000.0,Combo,https://happythai.vn/uploads/source/image-logo/tra-chanh-thai-do.png,True
205758b5-9c0c-432f-aa80-cb9fc80c3572,146db025-665d-4b1c-ae86-02d361189aa9,Trà Sữa Thái Hồng,,59000.0,Combo,https://happythai.vn/uploads/source/image-logo/tra-sua-thai-hong.png,True
bab97615-3f4c-478c-b21f-9d4fe9c943f7,146db025-665d-4b1c-ae86-02d361189aa9,Dừa Trái,,42000.0,Đồ ăn,https://happythai.vn/uploads/source/image-logo/dua-trai.png,True
