log_id,admin_id,target_type,target_id,action,reason,created_at
516564a1-f76e-4566-990b-ec9a2165a2c7,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,df607804-275a-4168-839a-fe6455868469,APPROVE,Hợp lệ,2026-05-07T00:16:53Z
5717c160-d0e6-44d4-84b0-c29647b758cd,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,2d8a8fff-25d0-4cec-825a-c2e9021fd542,APPROVE,Hợp lệ,2026-04-19T08:16:53Z
d336adeb-eda2-4227-8a38-74ec715b7d5d,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,4228ca94-f3ec-4c8b-b628-e08882e93571,APPROVE,Hợp lệ,2026-04-24T15:16:53Z
1a9be5b3-e23e-4867-a8e7-bd8accb308d9,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,d159f85e-202b-46e3-bb9d-3cce31f920b2,APPROVE,Hợp lệ,2026-05-14T23:16:53Z
66c3a3d2-9163-46aa-b99d-f95b6f10cab2,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,3a789878-7e85-4636-8f48-12fddf52f71f,APPROVE,Hợp lệ,2026-04-27T05:16:53Z
2e1cf1d3-6198-4dde-a859-fbdf78793daa,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,7eaf537d-cead-41f3-b19f-26b9cd04eeba,APPROVE,Hợp lệ,2026-04-24T17:16:53Z
7d9a57b6-9c04-47b1-aec8-013ca8c0304e,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,1b06312a-1520-48c7-b968-a0b82d2dc847,APPROVE,Hợp lệ,2026-04-27T23:16:53Z
e9a00b32-a189-4ae3-a1ad-5099f68e3b46,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,fbfcce1d-4268-4e87-86a5-1aef5ce65d2e,APPROVE,Hợp lệ,2026-05-16T11:16:53Z
5a19a6ce-01fd-4fce-9fa2-b2cbdc2888ea,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,7eaf537d-cead-41f3-b19f-26b9cd04eeba,APPROVE,Hợp lệ,2026-05-15T23:16:53Z
4ca77ab8-7c0b-40af-abda-1a97716588c1,b3c978b8-681b-4a32-9dcf-83e10ef49244,restaurant,34ddcfa4-8895-4e55-bf2b-21f147acf9a0,APPROVE,Hợp lệ,2026-04-25T03:16:53Z
