review_id,customer_id,restaurant_id,reservation_id,rating,comment,status,rejection_reason,created_at,updated_at
48b05ce3-c67d-5230-9d1d-15f867f10d34,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,c8801b93-c5f3-46bd-8cc6-0e5904f9f770,,5,"Gần KTX, yên tĩnh, có ổ cắm và wifi nên rất hợp học bài trước giờ lên lớp.",APPROVED,,2026-05-18T12:00:00Z,2026-05-18T12:00:00Z
4948ab03-4d91-54d2-af24-2924c40e8359,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,71f345ca-d2e6-4beb-8cae-123d742f38b3,,5,"Món Hàn giá sinh viên, mì cay và tokbokki ổn, đi nhóm bạn sau giờ học rất tiện.",APPROVED,,2026-05-18T12:00:00Z,2026-05-18T12:00:00Z
fabc7fec-f534-52a8-a155-07af98302da1,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,e4c442c9-3926-4a41-bc12-b8c2c03681d0,,4,"Cơm trưa bình dân, gần trường, phần ăn ổn cho sinh viên.",APPROVED,,2026-05-18T12:00:00Z,2026-05-18T12:00:00Z
3467ce12-b687-5da3-8d02-099bf0abc13c,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,9adb3e44-f86f-419c-a769-114634191c0c,,5,"Rẻ, nhẹ bụng, hợp những hôm muốn ăn chay gần Linh Trung.",APPROVED,,2026-05-18T12:00:00Z,2026-05-18T12:00:00Z
d0da99d5-5a1b-51d1-9c63-4982f2caf709,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,5d214773-e10b-4ac3-8c42-4ccf339d1e11,,4,"Trà sữa gần khu ĐHQG, giá ổn, hợp ngồi nhanh với bạn bè.",APPROVED,,2026-05-18T12:00:00Z,2026-05-18T12:00:00Z
aa609f8c-bbdb-4d93-b6b3-4730e39c5568,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,85e0e077-88ad-4d2f-95e9-7782852e52df,,4,"Món ăn đậm đà, rất vừa miệng.",APPROVED,,2026-05-25T10:37:00Z,2026-05-25T10:37:00Z
48cdddea-e761-4ede-9981-369996a24a06,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,e1277a72-e392-49c6-9298-73068b7740f3,,4,"Không gian đẹp, đồ ăn tuyệt vời.",APPROVED,,2026-05-24T07:21:00Z,2026-05-24T07:21:00Z
b8a43e13-ff49-46d6-b90d-ee4ede636cab,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,b933980c-f51e-4b08-8ed8-162946fc1277,,5,"Tuyệt vời, 10 điểm không có nhưng.",APPROVED,,2026-05-23T06:56:00Z,2026-05-23T06:56:00Z
b681f462-a6ba-4cbf-a4ca-3bc56df082a9,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,5f70baee-e823-409e-8d33-040acdd857e5,,4,"Tuyệt vời, 10 điểm không có nhưng.",APPROVED,,2026-05-28T10:18:00Z,2026-05-28T10:18:00Z
bf71ca06-c877-498a-8fad-2725cb7f91d4,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,aa3fd9ef-c3a4-46cb-b755-ffddbee5a313,,2,Thái độ nhân viên kém.,APPROVED,,2026-05-04T14:40:00Z,2026-05-04T14:40:00Z
60204ee9-cf3f-4cc0-afbb-865b160eb842,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,d25b7f45-0269-4b64-9df8-b3a3c3214b63,,5,"View đẹp, rất hợp để hẹn hò hoặc đi cùng gia đình.",APPROVED,,2026-05-16T06:49:00Z,2026-05-16T06:49:00Z
8f3715d0-24e2-4f95-b1d7-10b81123fb9c,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,667981c9-63ef-42ac-a041-16c24882f71f,,5,Sẽ giới thiệu cho bạn bè.,APPROVED,,2026-05-16T18:01:00Z,2026-05-16T18:01:00Z
3ade9b94-316f-443c-9572-cb7074ed9454,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,473036a3-ccad-4c35-9ed6-db3525e357dc,,3,Chờ món hơi lâu một chút.,APPROVED,,2026-05-27T13:44:00Z,2026-05-27T13:44:00Z
b7eba8dc-ee50-4985-b8d3-89309e3e3317,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,ecf105e0-0298-48e9-b66f-226b921085ee,,5,"Món ăn đậm đà, rất vừa miệng.",APPROVED,,2026-05-29T23:01:00Z,2026-05-29T23:01:00Z
97bf669e-8657-44a2-9c47-7af737e4b032,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,92b11c3d-8050-431f-b8b3-1ff0f1336c32,,5,Sẽ giới thiệu cho bạn bè.,APPROVED,,2026-05-24T12:17:00Z,2026-05-24T12:17:00Z
4d3e9a97-b146-409f-a485-ae4552e42115,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,ba0a3b66-cacf-4bf7-853c-15968b4a6f1a,,5,"Giá cả hợp lý, chất lượng tốt.",APPROVED,,2026-05-25T07:01:00Z,2026-05-25T07:01:00Z
1b8ec918-073a-43da-acf1-5ecfe667b9ed,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,9277b11c-4a3b-413a-ab92-baf8723d4634,,4,"View đẹp, rất hợp để hẹn hò hoặc đi cùng gia đình.",APPROVED,,2026-05-05T00:27:00Z,2026-05-05T00:27:00Z
2146dd94-7458-4e49-b1a5-05a94202803d,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,e67459c6-ad52-4f4c-ad6c-f2e6fb5f0df6,,2,Không sạch sẽ lắm.,APPROVED,,2026-05-07T01:35:00Z,2026-05-07T01:35:00Z
3b2ae165-bf56-46c8-a522-020081e0c92f,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,71f345ca-d2e6-4beb-8cae-123d742f38b3,,5,"Quán ruột của mình, tuần nào cũng ghé.",APPROVED,,2026-05-27T09:10:00Z,2026-05-27T09:10:00Z
73ddceb7-ada2-4060-a50f-5b704f40b3d7,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,5b88e7f2-ec4f-4c1e-bf71-4e0e7413f22b,,4,"Không gian đẹp, đồ ăn tuyệt vời.",APPROVED,,2026-05-08T01:21:00Z,2026-05-08T01:21:00Z
9901f9a9-d1d5-4b85-8147-538b1ae4c013,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,279223f1-a3bf-4088-8b96-4fb88cf92937,,5,"Quán ruột của mình, tuần nào cũng ghé.",APPROVED,,2026-05-20T01:56:00Z,2026-05-20T01:56:00Z
713022a4-3b0f-44b6-a37c-81ff63437b7e,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,8f85465c-b832-4d61-a0db-aed52fb33088,,5,"Giá cả hợp lý, chất lượng tốt.",APPROVED,,2026-05-29T08:28:00Z,2026-05-29T08:28:00Z
d69c10e5-07fe-48e5-958d-acfea549181f,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,66f4fd75-1e05-4e77-89a2-0cc0b5482508,,5,"Tuyệt vời, 10 điểm không có nhưng.",APPROVED,,2026-05-05T12:04:00Z,2026-05-05T12:04:00Z
1f7f514d-9eb3-4a86-94f8-7d728beec42f,a18f6ad2-2b43-4df6-9dc6-02f744f49a01,271cbbbe-8447-47a2-9670-4a8921949846,,3,Chờ món hơi lâu một chút.,APPROVED,,2026-05-11T02:02:00Z,2026-05-11T02:02:00Z
