item_id,restaurant_id,name,description,price,category,image_url,availability_status
df01513f-9c76-4d4c-a12f-52380bd7e865,5c297d4b-ef79-41ca-8694-3470ef745d70,Món đặc biệt 53,Mô tả món ăn thơm ngon hấp dẫn.,148000.0,Đồ ăn,https://via.placeholder.com/200x200,AVAILABLE
87425e85-b8f9-45fc-b134-cc8c9c3dd315,5c297d4b-ef79-41ca-8694-3470ef745d70,Món đặc biệt 73,Mô tả món ăn thơm ngon hấp dẫn.,123000.0,Combo,https://via.placeholder.com/200x200,AVAILABLE
48ae167f-a392-45bd-8824-f7a5cd67265e,54adba30-9e56-4161-8ecc-a04c872b025a,Món đặc biệt 80,Mô tả món ăn thơm ngon hấp dẫn.,140000.0,Combo,https://via.placeholder.com/200x200,AVAILABLE
4d2787c1-b3d1-4cc4-889c-06a944464831,54adba30-9e56-4161-8ecc-a04c872b025a,Món đặc biệt 34,Mô tả món ăn thơm ngon hấp dẫn.,142000.0,Nước uống,https://via.placeholder.com/200x200,AVAILABLE
a4322064-eee7-42fa-8b6e-a47d7ef1c3bc,34ddcfa4-8895-4e55-bf2b-21f147acf9a0,Món đặc biệt 5,Mô tả món ăn thơm ngon hấp dẫn.,180000.0,Nước uống,https://via.placeholder.com/200x200,AVAILABLE
619c5ef3-85cf-450a-8723-a5bf27205110,34ddcfa4-8895-4e55-bf2b-21f147acf9a0,Món đặc biệt 2,Mô tả món ăn thơm ngon hấp dẫn.,33000.0,Đồ ăn,https://via.placeholder.com/200x200,AVAILABLE
af3d9ae9-f3a1-48cb-96d1-6487417a6053,0437c85a-ea0e-4bfb-a34a-acf718ac0025,Món đặc biệt 87,Mô tả món ăn thơm ngon hấp dẫn.,161000.0,Nước uống,https://via.placeholder.com/200x200,AVAILABLE
ebc75049-725f-4e59-82ab-4314718f4334,0437c85a-ea0e-4bfb-a34a-acf718ac0025,Món đặc biệt 21,Mô tả món ăn thơm ngon hấp dẫn.,188000.0,Đồ ăn,https://via.placeholder.com/200x200,AVAILABLE
36ba12e1-6d75-4cee-88e9-ba35154a023a,fbfcce1d-4268-4e87-86a5-1aef5ce65d2e,Món đặc biệt 94,Mô tả món ăn thơm ngon hấp dẫn.,150000.0,Combo,https://via.placeholder.com/200x200,AVAILABLE
d48f179a-a650-4931-9e0c-fd1498f3be7d,fbfcce1d-4268-4e87-86a5-1aef5ce65d2e,Món đặc biệt 35,Mô tả món ăn thơm ngon hấp dẫn.,85000.0,Đồ ăn,https://via.placeholder.com/200x200,AVAILABLE
