capacity_id,restaurant_id,day_of_week,start_time,end_time,max_capacity,created_at,updated_at
9ca9ad33-bd94-4c31-b389-2e6cf7a4a354,5c297d4b-ef79-41ca-8694-3470ef745d70,0,11:00,14:00,58,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
8b591b31-a579-4ba2-a09d-0f53d7a65582,5c297d4b-ef79-41ca-8694-3470ef745d70,0,17:00,22:00,76,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
910a64b2-ca3c-403d-8011-0aaf2e674ca5,5c297d4b-ef79-41ca-8694-3470ef745d70,1,11:00,14:00,49,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
3bacf53b-e364-4857-b719-ef1c77f24cac,5c297d4b-ef79-41ca-8694-3470ef745d70,1,17:00,22:00,77,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
84a60c01-0c6a-4335-9ee7-7bf8053f9d47,5c297d4b-ef79-41ca-8694-3470ef745d70,2,11:00,14:00,48,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
40c729a6-c8c5-42a8-9c91-7651e14f171f,5c297d4b-ef79-41ca-8694-3470ef745d70,2,17:00,22:00,70,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
5e4f9066-3a5f-484d-b64a-1e5c0226eb0e,5c297d4b-ef79-41ca-8694-3470ef745d70,3,11:00,14:00,36,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
c2d3c3be-841e-440a-9154-9cba1836713e,5c297d4b-ef79-41ca-8694-3470ef745d70,3,17:00,22:00,75,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
9d4cd0c9-b8fd-412c-8585-499dba20caf0,5c297d4b-ef79-41ca-8694-3470ef745d70,4,11:00,14:00,38,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
550390cc-5500-4016-a783-621cecc90f94,5c297d4b-ef79-41ca-8694-3470ef745d70,4,17:00,22:00,56,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
223a278a-4339-446b-9c1c-612d8e065e48,5c297d4b-ef79-41ca-8694-3470ef745d70,5,11:00,14:00,56,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
c8cc1be0-0b88-411a-bcae-2e6c073f9853,5c297d4b-ef79-41ca-8694-3470ef745d70,5,17:00,22:00,69,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
7ae95769-9bcc-4cf2-b18f-6e04fbe7bcff,5c297d4b-ef79-41ca-8694-3470ef745d70,6,11:00,14:00,47,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
5eddbe6a-5352-473f-bef5-09c2b18753f9,5c297d4b-ef79-41ca-8694-3470ef745d70,6,17:00,22:00,57,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
613c59f7-b884-4e17-8006-582833c97254,54adba30-9e56-4161-8ecc-a04c872b025a,0,11:00,14:00,50,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
c2b9c685-f3ef-47f9-bb27-c964704a941b,54adba30-9e56-4161-8ecc-a04c872b025a,0,17:00,22:00,68,2026-05-13T10:16:53Z,2026-04-28T00:16:53Z
