image_id,restaurant_id,image_url,image_type,uploaded_at
dbc0e688-2462-4fd0-842b-d762177f07b7,146db025-665d-4b1c-ae86-02d361189aa9,https://tse4.mm.bing.net/th/id/OIP.pJe38um5qAwsNWFunCTSfgHaEO?rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
7843005c-a128-4c74-8271-e20262360a55,db62dce8-6248-47c7-974a-2abf6402197d,https://images.prismic.io/luxdeco-dev/MWM1MGExZjYtZDA0Ny00NDkzLWJmNTktZTJiMjJhZTM1NGZh_restaurant_interior_design-_layouts_design_ideas___luxdeco_3.jpg?auto=compress,cover,2026-05-24T12:02:44Z
ca050b3d-57e0-43fc-952d-d0b7a5b558de,2037aa13-62c6-4776-b970-dc4545feb065,https://rabda-entries.s3.amazonaws.com/store/2023/chotto-matte-marylebone-76cbeb99-0927-4ae9-8e60-56e594d24e8a/image/32226/file/xlarge-89f07358bb1a9d6da3ae470dec6fc4ff.jpg,cover,2026-05-24T12:02:44Z
fcb9cd1a-1576-443e-9cc9-7ee8742a20f9,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,https://tse2.mm.bing.net/th/id/OIP.ADX9gZvp5oCu1pVqfcOflAHaEo?rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
2a821d3d-dd01-4a24-8d58-a740d840a1f8,604a9d4b-1a55-4c8c-b353-810b2eddcd25,https://4.bp.blogspot.com/-b3nppVIhSbA/W3Xop_EYjII/AAAAAAAAXRg/Z0BdFFYUz4AdYac4k_iJIAM6zeygx5jlQCLcBGAs/s1600/nha-hang-sai-gon-tphcm-10.jpg,cover,2026-05-24T12:02:44Z
c8d5b35c-b08e-44f7-9cb5-6de61b36d6b8,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/be/30/ff/outdoor-over-looking.jpg?w=800&h=-1&s=1,cover,2026-05-24T12:02:44Z
6a4bfbc6-c16e-49f4-b553-05586d76b7bd,2f96e934-56c2-421d-b105-cb877bd9dbdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/b5/69/5a/welcome-to-l-ng-den-restaurant.jpg?w=800&h=600&s=1,cover,2026-05-24T12:02:44Z
d76dec9e-8bfc-4c5e-9dd4-339ba11ded31,cbdd0762-1248-4e13-8494-e298f2961d30,https://tse4.mm.bing.net/th/id/OIP.RcSbHleaNWmIuPxIFULA3gHaE8?rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
eddc7e98-2fca-45be-b24c-66cd452849c8,9331a273-0e04-4ee5-b93a-d0bb8e908815,https://tse4.mm.bing.net/th/id/OIP.V7BnesGlJc6uNRMJTUn5RgHaE7?rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
e9c3e142-1ddb-4bfe-b4c6-f9c982401d3a,717bfd6b-e7a3-4725-ac11-fe9bfb904661,https://hblimg.mmtcdn.com/content/hubble/img/Bangalore/mmt/activities/m_Bameys%20Restro%20Cafe_l_398_598.jpg,cover,2026-05-24T12:02:44Z
2ba29b99-489e-46e0-b018-7d17d5cb3a99,1823504b-4f1e-4cad-b150-bcf69466ff67,https://tse1.mm.bing.net/th/id/OIP.tcymWmvJUvnFIxyl9Ic4VgHaE8?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
a5da2e27-a444-4b75-9563-d60a03865909,0071f06a-c897-47ed-8e11-9d9cc0aead1a,https://tse2.mm.bing.net/th/id/OIP.jPD7eP7YZD8TlTT9hTqLlwHaEV?rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
14af0ce0-405e-4284-aab2-af826bd05bbe,b872b8d9-e58f-44c8-9fe2-a7fdd9d06353,https://tse3.mm.bing.net/th/id/OIP.AeDcZuXW0FjBguujImak8AHaE9?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
eafd0904-476b-4055-8b2a-ba7183721293,8f0783ac-3eaf-43dc-87cc-2ba61ea73b1c,https://i.pinimg.com/originals/b9/80/18/b980187cff6a53d60d387a75cff9ab19.jpg,cover,2026-05-24T12:02:44Z
b6ca2242-4bd4-4ebc-b525-28b8fc2b2567,5eea5a84-50d7-40f6-bdd6-16a4f0d04cf5,https://tse2.mm.bing.net/th/id/OIP.92OdqTIk4LitBNlZIMtl8AHaJQ?w=1080&h=1350&rs=1&pid=ImgDetMain&o=7&rm=3,cover,2026-05-24T12:02:44Z
